Date,Comp,Venue,Result,GF,GA,Opponent,Poss,Shots_For,SoT_For,SoT%_For,Shots_Against,SoT_Against,SoT%_Against,XG_for,XG_against
2026-08-22,Premier League,1,3,2,0,Manchester Utd,28.0,8.0,4.0,50.0,21.0,5.0,23.8,1.49627,1.77874
2026-08-29,Premier League,0,3,1,0,Coventry City,31.0,6.0,2.0,33.3,11.0,3.0,27.3,0.459726,1.18233
