Date,Comp,Venue,Result,GF,GA,Opponent,Poss,Shots_For,SoT_For,SoT%_For,Shots_Against,SoT_Against,SoT%_Against,XG_for,XG_against,Poss_last3,Poss_last5,Shots_For_last3,Shots_For_last5,ShotsT_For_last3,ShotsT_For_last5,Shots_Against_last3,Shots_Against_last5,ShotsT_Against_last3,ShotsT_Against_last5,XG_for_last3,XG_for_last5,XG_against_last3,XG_against_last5,GF_last3,GF_last5,GA_last3,GA_last5,Result_last3,Result_last5,Home_Poss_last3,Away_Poss_last3,Home_XG_for_last3,Away_XG_for_last3,Home_XG_against_last3,Away_XG_against_last3,Home_Result_last3,Away_Result_last3,XG_Diff_last3,XG_Diff_last5,Goal_Diff_last3,Goal_Diff_last5,Home_XG_Diff_last3,Away_XG_Diff_last3,Home_Goal_Diff_last3,Away_Goal_Diff_last3
2025-12-13,Premier League,0,0,0.0,2.0,Chelsea,42.0,11.0,2.0,18.2,17.0,5.0,29.4,1.34,2.64457,45.3333,43.4,11.3333,10.2,3.3333,3.2,8.3333,4.6,4.3333,11.6,1.1535,1.1843,1.1355,1.221,1.6667,1.6,1.3333,0.8,2.0,2.4,,38.0,,0.7861,,1.3633,,2.3333,0.018,-0.0366,0.3333,0.8,,-0.5772,,0.6667
2025-12-20,Premier League,1,0,0.0,1.0,Arsenal,35.0,5.0,1.0,20.0,13.0,2.0,15.4,0.213273,1.84723,43.0,41.6,11.6667,9.6,3.3333,2.6,9.6667,4.8,3.3333,13.4,1.2631,0.9911,1.1974,1.665,1.3333,1.2,0.6667,1.2,2.0,1.8,47.3333,,1.5236,,1.0652,,2.0,,0.0656,-0.6739,0.6667,0.0,0.4584,,0.6667,
2025-12-27,Premier League,0,1,0.0,0.0,Burnley,45.0,15.0,6.0,40.0,16.0,0.0,0.0,1.25204,1.24948,39.6667,42.6,9.0,10.0,2.6667,2.6,12.3333,4.0,3.3333,11.0,0.9356,1.0027,1.6014,1.5797,1.0,1.0,1.0,1.4,1.0,1.2,,39.0,,0.8969,,1.8512,,2.0,-0.6658,-0.5769,0.0,-0.4,,-0.9543,,0.0
2025-12-30,Premier League,0,3,2.0,0.0,Nottingham,30.0,11.0,3.0,27.3,21.0,6.0,28.6,1.69525,1.75445,40.6667,41.8,10.3333,11.0,3.0,3.4,15.3333,2.4,2.3333,11.6,0.9351,1.0509,1.9138,1.3378,0.0,0.8,1.0,0.6,0.3333,1.4,,44.0,,1.2626,,1.5098,,1.3333,-0.9787,-0.2869,-1.0,0.2,,-0.2472,,-0.3333
2026-01-04,Premier League,1,0,2.0,4.0,Brentford,45.0,14.0,6.0,42.9,11.0,7.0,63.6,1.00566,3.05179,36.6667,38.8,10.3333,10.6,3.3333,3.4,16.6667,3.2,2.6667,14.8,1.0535,1.1508,1.6171,1.5616,0.6667,1.0,0.3333,0.6,1.3333,1.4,42.0,,0.826,,1.5395,,1.0,,-0.5635,-0.4108,0.3333,0.4,-0.7135,,-0.3333,
2026-01-07,Premier League,1,1,1.0,1.0,Wolves,45.0,13.0,2.0,15.4,12.0,4.0,33.3,1.63321,0.71329,40.0,39.4,13.3333,11.2,5.0,3.6,16.0,4.0,4.3333,15.6,1.3176,1.1012,2.0186,2.1095,1.3333,0.8,1.3333,1.4,1.3333,0.8,40.6667,,0.8241,,1.7371,,1.0,,-0.7009,-1.0083,0.0,-0.6,-0.913,,0.0,
2026-01-18,Premier League,0,3,1.0,0.0,Aston Villa,37.0,9.0,3.0,33.3,18.0,5.0,27.8,0.745859,0.905393,40.0,40.0,12.6667,11.6,3.6667,3.6,14.6667,3.8,5.6667,14.6,1.4447,1.1599,1.8398,1.7232,1.6667,1.0,1.6667,1.2,1.3333,1.0,,39.0,,1.4291,,1.8828,,1.3333,-0.3951,-0.5634,0.0,-0.2,,-0.4537,,0.0
2026-01-26,Premier League,1,1,1.0,1.0,Leeds United,58.0,10.0,3.0,30.0,14.0,4.0,28.6,0.889916,1.6766,42.3333,40.4,12.0,12.4,3.6667,4.0,13.6667,4.4,5.3333,15.6,1.1282,1.2664,1.5568,1.5349,1.3333,1.2,1.6667,1.0,1.3333,1.6,41.6667,,0.9507,,1.8708,,0.3333,,-0.4286,-0.2685,-0.3333,0.2,-0.9201,,-1.0,
2026-01-31,Premier League,0,1,1.0,1.0,Brighton,47.0,7.0,4.0,57.1,11.0,2.0,18.2,1.28126,1.42825,46.6667,43.0,10.6667,11.4,2.6667,3.4,14.6667,5.2,4.3333,15.2,1.0897,1.194,1.0984,1.6203,1.0,1.4,0.6667,1.2,1.6667,1.6,,37.3333,,1.231,,1.3031,,2.3333,-0.0088,-0.4263,0.3333,0.2,,-0.0721,,1.0
2026-02-07,Premier League,0,3,2.0,1.0,Fulham,45.0,16.0,3.0,18.8,13.0,3.0,23.1,1.88778,2.20126,47.3333,46.4,8.6667,10.6,3.3333,3.6,14.3333,4.4,3.6667,13.2,0.9723,1.1112,1.3367,1.5551,1.0,1.2,0.6667,1.4,1.6667,1.2,,38.0,,1.2408,,1.3627,,2.3333,-0.3644,-0.4439,0.3333,-0.2,,-0.1219,,1.0
