Date,Comp,Venue,Result,GF,GA,Opponent,Poss,Shots_For,SoT_For,SoT%_For,Shots_Against,SoT_Against,SoT%_Against,XG_for,XG_against
2026-08-22,Premier League,1,3,2.0,1.0,Sunderland,38.0,10.0,3.0,30.0,11.0,4.0,36.4,1.58452,1.17743
2026-08-30,Premier League,0,0,2.0,5.0,Manchester Utd,40.0,9.0,5.0,55.6,33.0,11.0,33.3,1.80548,4.86612
2026-09-04,Premier League,1,0,0.0,2.0,Liverpool,45.0,14.0,5.0,35.7,10.0,7.0,70.0,0.597972,0.744139
2026-09-12,Premier League,0,3,3.0,2.0,Crystal Palace,54.0,12.0,6.0,50.0,11.0,4.0,36.4,2.03423,0.937888
